dataset,source_name,channel,fs,location,policy,boundary_rmse_uv
sleepedf,SC4061E0-PSG.edf,1,100.0,interior,causal,7.8672
sleepedf,SC4061E0-PSG.edf,1,100.0,interior,reflect_zerophase,0.407609
sleepedf,SC4061E0-PSG.edf,1,100.0,interior,prefetch,0.001059
sleepedf,SC4071E0-PSG.edf,0,100.0,record_start,causal,32.315071
sleepedf,SC4071E0-PSG.edf,0,100.0,record_start,reflect_zerophase,10.577879
sleepedf,SC4071E0-PSG.edf,0,100.0,interior,causal,20.687796
sleepedf,SC4071E0-PSG.edf,0,100.0,interior,reflect_zerophase,5.951308
sleepedf,SC4071E0-PSG.edf,0,100.0,interior,prefetch,0.001328
sleepedf,SC4071E0-PSG.edf,1,100.0,record_start,causal,8.902253
sleepedf,SC4071E0-PSG.edf,1,100.0,record_start,reflect_zerophase,1.668012
sleepedf,SC4071E0-PSG.edf,1,100.0,interior,causal,8.560841
sleepedf,SC4071E0-PSG.edf,1,100.0,interior,reflect_zerophase,0.961645
sleepedf,SC4071E0-PSG.edf,1,100.0,interior,prefetch,0.000431
